2025-12-18 10:47:44.458 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-18 10:47:44.458 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-18 10:47:53.188 | INFO     | app.main | main.py:31 | lifespan | Application shutdown
2025-12-18 10:47:53.608 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-18 10:47:53.608 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-18 10:47:56.418 | INFO     | app.main | main.py:31 | lifespan | Application shutdown
2025-12-18 10:48:03.623 | INFO     | test | <string>:7 | <module> | Test message
2025-12-18 10:48:03.623 | WARNING  | test | <string>:8 | <module> | Warning message
2025-12-18 10:48:03.623 | ERROR    | test | <string>:9 | <module> | Error message
2025-12-18 11:18:02.231 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-18 11:18:02.231 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-19 01:07:39.566 | WARNING  | app.services.llm | llm.py:238 | sanitize_input | Potential prompt injection detected
2025-12-19 01:18:56.771 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-19 01:18:56.771 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-19 01:21:48.276 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-19 01:21:48.276 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-19 01:22:11.444 | INFO     | app.main | main.py:31 | lifespan | Application shutdown
2025-12-19 01:22:19.528 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-19 01:22:19.528 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-19 01:22:35.778 | INFO     | app.main | main.py:31 | lifespan | Application shutdown
2025-12-19 01:22:45.216 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-19 01:22:45.216 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-19 01:22:47.809 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:22:53.538 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:22:53.539 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:23:17.108 | INFO     | app.main | main.py:31 | lifespan | Application shutdown
